entity,political_lean,rank_change,total_engagements,engagements_change,posts,avg_engagements,total_views,Non_Twitter_Views,platforms
Kylie Brewer,Left-Leaning,15,35158,-2967,2,17579,244531,244531,[TikTok](https://www.tiktok.com/@kylie.brewer)
Neverwoke,Right-Leaning,-170,35138,-114838,103,341,606683,606683,[TikTok](https://www.tiktok.com/@never.woke)
Josh Shapiro,Left-Leaning,357,34570,33952,3,11523,214903,214903,[TikTok](https://tiktok.com/@joshshapiropa)
Jordan Peterson,Right-Leaning,-171,34105,-115255,6,5684,540927,540927,[TikTok](https://tiktok.com/@dr.jordan.b.peterson)
LEX 18 / WLEX (Lexington NBC),Neutral,93,34101,18012,6,5684,787747,787747,[TikTok](https://www.tiktok.com/@lex18news)
blackmenaces,Left-Leaning,-102,33889,-64652,5,6778,437024,437024,[TikTok](https://www.tiktok.com/@blackmenaces)
Distill Social,Left-Leaning,2,33818,-6037,29,1166,207734,207734,[TikTok](https://www.tiktok.com/@distillsocial)
Maura Healey,Left-Leaning,-172,33069,-114724,3,11023,133200,133200,[TikTok](https://www.tiktok.com/@maurahealeyma)
NBC 5 DFW,Neutral,-74,32958,-39247,9,3662,871809,871809,[TikTok](https://www.tiktok.com/@nbcdfw)
Live Action,Right-Leaning,46,32887,7104,23,1430,207989,207989,[TikTok](https://www.tiktok.com/@liveactionorg)
Jacob Simon,Neutral,-125,32294,-77153,13,2484,134639,134639,[TikTok](https://www.tiktok.com/@jacobsimonsays)
Mark Kaye,Right-Leaning,98,31493,17206,16,1968,321717,321717,[TikTok](https://www.tiktok.com/@mark.kaye.show)
Jon Ossoff,Left-Leaning,-32,31376,-19625,2,15688,495132,495132,[TikTok](https://tiktok.com/@jon)
Kaisa,Left-Leaning,88,31097,15839,6,5183,225000,225000,[TikTok](https://www.tiktok.com/@kaisastreams)
Chez Chuck,Left-Leaning,-127,30893,-77451,20,1545,234762,234762,[TikTok](https://www.tiktok.com/@chezchuck)
Bobby Pulido,Left-Leaning,-239,30848,-249917,9,3428,304983,304983,[TikTok](https://www.tiktok.com/@BobbyPulidoforTexas)
Chad Prather,Right-Leaning,-104,30739,-58803,14,2196,291683,291683,[TikTok](https://www.tiktok.com/@chadprather)
Human Rights Campaign,Left-Leaning,-189,30337,-121696,52,583,194522,194522,[TikTok](https://tiktok.com/@humanrightscampaign)
Fortune Magazine,Neutral,-303,29989,-482858,37,811,717701,717701,[TikTok](https://www.tiktok.com/@fortune)
